BTC:USDT_timestamp,BTC:USDT_sma_9,BTC:USDT_sma_20,BTC:USDT_sma_50,BTC:USDT_rsi,BTC:USDT_bollinger_up,BTC:USDT_bollinger_down,BTC:USDT_adx,BTC:USDT_macd_diff,BTC:USDT_obv,BTC:USDT_ichimoku_conversion,BTC:USDT_stochastic_k,BTC:USDT_stochastic_d,BTC:USDT_aroon_up,BTC:USDT_aroon_down,BTC:USDT_target
2019-02-20,3721.7788888888804,3614.743499999994,3628.818200000005,72.87694392103411,3930.7787986167577,3298.7082013832305,23.818811198220782,47.69552243631468,-307483.832116,3781.315,88.58576200531299,81.16048575126523,14.285714285714286,92.85714285714286,-0.008169300760251241
2019-02-21,3755.7622222222135,3638.5054999999934,3630.3932000000054,69.60612790159513,3975.800280955481,3301.210719044506,25.94832831927215,47.01818693727115,-338587.716844,3792.295,84.64741146132043,85.22897982332363,7.142857142857143,100.0,0.006270778780436359
2019-02-22,3794.939999999991,3661.3669999999934,3634.2976000000053,70.68486756900903,4020.574291191046,3302.1597088089406,27.925737074534137,45.356217717722586,-314644.553094,3792.295,86.48946216423586,86.57421187695637,0.0,92.85714285714286,0.03931347804139329
2019-02-23,3853.5177777777685,3694.349499999993,3640.812600000005,76.38027699323352,4091.9356281531623,3296.7633718468237,30.528476717042743,51.425427532233016,-280986.61021099996,3867.735,83.75107696474983,84.96265019676865,35.714285714285715,100.0,-0.09087465029530628
2019-02-24,3869.194444444435,3708.366499999993,3640.2646000000054,50.83038704847858,4091.888324218438,3324.8446757815477,30.12743302973493,28.084214511643765,-343210.797101,3897.955,58.944063519228386,76.39486754940464,28.571428571428573,100.0,0.022534699590763818
2019-02-25,3892.473333333324,3726.1829999999927,3637.0710000000054,54.52365508755639,4096.946084253049,3355.4199157469366,29.755035320091963,16.73292150315632,-305107.83085599996,3901.2,38.550621320576745,60.41525393485159,21.42857142857143,92.85714285714286,-0.004882547179669405
2019-02-26,3908.212222222213,3746.375999999993,3633.7466000000054,53.56371931256098,4087.8864687953683,3404.8655312046176,29.409237446852064,6.877183642292536,-333946.57889199996,3926.5,16.67078748918302,38.055157442995984,14.285714285714286,85.71428571428572,0.002320678982366653
2019-02-27,3899.2644444444354,3767.3594999999937,3631.0054000000055,53.97644831997638,4070.144436580097,3464.57456341989,28.021844987481348,0.21671063101096877,-302445.58342599997,3937.585,23.56622160636266,26.262543472040743,7.142857142857143,78.57142857142857,-0.0011471764530247563
2019-02-28,3888.8088888888797,3775.091999999994,3627.946200000006,53.7216693405271,4074.294660123209,3475.8893398767796,27.11667923097509,-4.936042716991693,-335007.54446999996,3937.585,24.387457471741836,21.541488855762438,0.0,71.42857142857143,0.0024412052369227055
2019-03-01,3872.5044444444356,3782.9829999999943,3632.688600000006,54.21635566249908,4078.475920464791,3487.4900795351973,26.276168171362137,-7.988756686937194,-311832.97229999996,3937.585,40.811484643674994,29.58838790725976,0.0,64.28571428571429,-0.0008030342662830314
2019-03-02,3859.462222222213,3789.9764999999943,3637.0610000000056,54.01132894502375,4081.995022104002,3497.9579778959865,25.049087453208084,-10.337033034178404,-331278.810655,3937.585,54.36493477426787,39.854625629894834,0.0,57.142857142857146,-0.003188540104137938
2019-03-03,3842.323333333324,3798.811499999994,3641.5534000000057,53.152517988796355,4081.6086734862633,3516.0143265137244,23.90965535777932,-12.678499728395238,-347996.976065,3937.585,66.27298455311558,53.81646799035275,0.0,50.0,-0.02427943010964473
2019-03-04,3797.6055555555463,3803.003499999994,3646.3232000000053,47.03870213114429,4078.1352486074848,3527.871751392503,22.687860447877082,-19.98670171998632,-382739.817725,3934.3450000000003,50.05925273333779,56.89905735357368,0.0,42.85714285714286,0.03833606976556392
2019-03-05,3810.2911111111016,3815.4199999999937,3650.9560000000056,55.5260738565453,4076.5393905492624,3554.300609450725,21.075447939902737,-14.989802536082088,-349777.281563,3779.3450000000003,57.69339980309571,58.008545696516286,92.85714285714286,35.714285714285715,0.0010653933790079062
2019-03-06,3814.0599999999913,3828.983999999994,3657.1316000000056,55.746461700223314,4069.3295160738444,3588.6384839261436,19.855577204006405,-11.335344504160403,-325002.162733,3788.8450000000003,64.01118395281482,57.2546121630827,85.71428571428572,28.571428571428573,0.003055538292627169
2019-03-07,3821.216666666658,3842.5424999999937,3662.767600000006,56.414269312209285,4059.723872672303,3625.3611273276842,18.722840092102665,-8.197281929846312,-298546.905072,3788.8450000000003,85.79607488148129,69.16688621246387,78.57142857142857,21.42857142857143,-0.0022588573021756764
2019-03-08,3826.4188888888802,3854.8664999999937,3667.7412000000063,55.742529992967505,4046.21181970188,3663.5211802981075,17.549110321791684,-6.840158177461568,-333277.271664,3801.3450000000003,80.36343997245824,76.72356626891805,71.42857142857143,14.285714285714286,0.020220497866692222
2019-03-09,3840.7911111111025,3868.639499999993,3674.7046000000064,60.29044589671834,4042.9780094000917,3694.3009905998942,16.571895019994454,-1.1090899559211422,-302297.524011,3821.2200000000003,83.16537079608248,83.10829521667394,64.28571428571429,7.142857142857143,-0.006649691608505037
2019-03-10,3851.215555555547,3869.550499999993,3679.735000000007,58.13205593312348,4044.694275167293,3694.406724832693,15.664480811182738,0.40492812289167546,-325485.085423,3821.2200000000003,77.21020975844768,80.24634017566274,57.142857142857146,0.0,-0.011542526845757517
2019-03-11,3856.957777777769,3867.7414999999937,3686.3816000000065,54.50852204935017,4042.0132661924254,3693.469733807562,14.886888857185964,-2.01640680840471,-363551.971128,3821.2200000000003,66.3356974688122,75.57042600778072,50.0,85.71428571428572,0.0028721901224555424
2019-03-12,3865.2888888888806,3863.3909999999933,3693.4982000000073,55.247428742265456,4031.495530923024,3695.2864690769625,14.21099993440745,-3.1779695859736776,-336630.962506,3821.2200000000003,52.626880155264665,65.39092912750813,42.85714285714286,78.57142857142857,-0.004308823946037932
2019-03-13,3882.0333333333256,3859.825499999993,3699.399600000007,53.83076765809288,4024.4974156986436,3695.1535843013426,13.583388791827401,-5.259119245034917,-361091.971263,3837.65,39.092515400206075,52.685031008094256,35.714285714285715,71.42857142857143,0.002876357992757317
2019-03-14,3884.18777777777,3855.581499999993,3705.885600000007,54.66291647915419,4013.748146078972,3697.414853921014,13.377409633389432,-6.018242308100838,-334043.222733,3885.875,41.908693399790174,44.54269631842025,28.571428571428573,64.28571428571429,0.012029547705513455
2019-03-15,3891.0677777777696,3845.881499999993,3712.968400000007,58.076018770777374,3954.6127113970306,3737.1502886029557,12.889021588121455,-3.6284300169619,-312303.161235,3885.875,55.18439751534438,45.39520210511349,21.42857142857143,57.142857142857146,0.020954390686484414
2019-03-16,3905.7722222222146,3859.002499999993,3721.7822000000074,63.318600781710465,3978.024354446438,3739.9806455535477,13.013181922052892,2.888698444495404,-283734.785111,3928.49,72.484453407808,56.52584810764747,14.285714285714286,100.0,-0.006200729908786395
2019-03-17,3918.688888888881,3866.663499999993,3730.1000000000076,60.843155958419516,3995.9760190067,3737.3509809932857,13.128473660703511,4.81220706271462,-302549.040688,3933.705,78.85000275064387,68.83961789126538,7.142857142857143,92.85714285714286,0.0016753995086835616
